"0,.00692"
"1,.00346"
"2,.0"
"3,.0"
"4,.02422"
"5,.08304"
"6,.0692"
"7,.03114"
"8,.04498"
"9,.04498"
"10,.07612"
"11,.06228"
"12,.04844"
"13,.0346"
"14,.04844"
"15,.0692"
"16,.07612"
"17,.04152"
"18,.07612"
"19,.03114"
"20,.04152"
"21,.0519"
"22,.02076"
"23,.01384"
