"0,.02681"
"1,.00804"
"2,.0"
"3,.0"
"4,.0"
"5,.00268"
"6,.02413"
"7,.0429"
"8,.06971"
"9,.07775"
"10,.06702"
"11,.0563"
"12,.04021"
"13,.08043"
"14,.05362"
"15,.05094"
"16,.07239"
"17,.0563"
"18,.06971"
"19,.02949"
"20,.0563"
"21,.04558"
"22,.04021"
"23,.02949"
