time,frequency
0:00,.01099
1:00,.00490
2:00,.00152
3:00,.00101
4:00,.00541
5:00,.01792
6:00,.04006
7:00,.05274
8:00,.06609
9:00,.06034
10:00,.05747
11:00,.06018
12:00,.05443
13:00,.05933
14:00,.05950
15:00,.06389
16:00,.06795
17:00,.05189
18:00,.04699
19:00,.04648
20:00,.05680
21:00,.05629
22:00,.03567
23:00,.02214
