"0,.00897"
"1,.0"
"2,.0"
"3,.0"
"4,.0"
"5,.03587"
"6,.03587"
"7,.04036"
"8,.06278"
"9,.03139"
"10,.01794"
"11,.06726"
"12,.06278"
"13,.06278"
"14,.0583"
"15,.06726"
"16,.0583"
"17,.06278"
"18,.03587"
"19,.0852"
"20,.07175"
"21,.02691"
"22,.08969"
"23,.01794"
